Año,Trimestre,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total,id_provincia
2021,3,104.0,105.0,89168.0,26281.0,18538.0,5320.0,1643.0,14907.0,156066.0,5
2021,3,99.0,2452.0,204989.0,141285.0,65050.0,47198.0,476459.0,9256.0,946788.0,6
2021,3,67.0,645.0,29629.0,28478.0,24792.0,9687.0,35468.0,5053.0,133819.0,7
2021,3,107.0,3024.0,61354.0,59776.0,39114.0,16284.0,67961.0,12755.0,260375.0,8
2021,3,381.0,0.0,22778.0,7142.0,6978.0,1192.0,12707.0,1617.0,52795.0,9
2021,3,48.0,175.0,23884.0,16417.0,37755.0,561.0,29917.0,2401.0,111158.0,10
2021,3,298.0,313.0,65063.0,7395.0,8737.0,4023.0,10506.0,4152.0,100487.0,11
2021,3,18.0,1.0,5366.0,5979.0,23315.0,4868.0,42613.0,0.0,82160.0,12
2021,3,36.0,31.0,151871.0,12640.0,62628.0,7596.0,21087.0,50.0,255939.0,13
2021,3,51.0,5.0,41932.0,25099.0,26079.0,14792.0,42291.0,8279.0,158528.0,14
2021,3,112.0,327.0,57441.0,8566.0,6234.0,3631.0,57919.0,5579.0,139809.0,15
2021,3,125.0,557.0,68991.0,3730.0,14880.0,2282.0,34011.0,20009.0,144585.0,16
2021,3,101.0,20.0,41431.0,70104.0,6962.0,3878.0,67010.0,6327.0,195833.0,17
2021,3,18.0,333.0,59873.0,752.0,13250.0,338.0,278.0,4641.0,79483.0,18
2021,3,60.0,0.0,11552.0,2405.0,6491.0,67942.0,22.0,29392.0,117864.0,19
2021,3,50.0,0.0,30561.0,8365.0,6799.0,1788.0,678.0,735.0,48976.0,20
2021,3,467.0,579.0,193207.0,201250.0,83941.0,55080.0,290793.0,16267.0,841584.0,21
2021,3,123.0,909.0,32752.0,61838.0,11274.0,801.0,6863.0,898.0,115458.0,22
2021,3,17.0,0.0,23723.0,13397.0,9782.0,1433.0,976.0,895.0,50223.0,23
2021,3,32.0,97.0,39446.0,50293.0,21986.0,5300.0,115154.0,164.0,232472.0,24
