Año,Trimestre,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,ID
2021,3,49269.0,55794.0,8946.0,23376.0,18681.0,156066.0,5
2021,3,229275.0,477223.0,167495.0,57617.0,15178.0,946788.0,6
2021,3,44805.0,69403.0,7542.0,6766.0,5303.0,133819.0,7
2021,3,74443.0,128752.0,20485.0,23500.0,13195.0,260375.0,8
2021,3,18093.0,14111.0,4730.0,15690.0,171.0,52795.0,9
2021,3,23554.0,60758.0,19926.0,2952.0,3968.0,111158.0,10
2021,3,9015.0,57881.0,17817.0,14479.0,1295.0,100487.0,11
2021,3,11329.0,54744.0,9444.0,6613.0,30.0,82160.0,12
2021,3,91474.0,71247.0,70579.0,21811.0,828.0,255939.0,13
2021,3,43230.0,89469.0,10969.0,7198.0,7662.0,158528.0,14
2021,3,29650.0,73794.0,16455.0,19270.0,640.0,139809.0,15
2021,3,47934.0,44519.0,18725.0,15031.0,18376.0,144585.0,16
2021,3,49212.0,98318.0,36126.0,5724.0,6453.0,195833.0,17
2021,3,40072.0,12922.0,6670.0,11372.0,8447.0,79483.0,18
2021,3,8417.0,11884.0,27.0,68856.0,28680.0,117864.0,19
2021,3,12347.0,22961.0,6328.0,4269.0,3071.0,48976.0,20
2021,3,245929.0,443156.0,93412.0,43447.0,15640.0,841584.0,21
2021,3,19939.0,85535.0,909.0,6147.0,2928.0,115458.0,22
2021,3,12853.0,36958.0,6.0,16.0,390.0,50223.0,23
2021,3,104489.0,53868.0,70964.0,2408.0,743.0,232472.0,24
2021,2,603255.0,2503830.0,854173.0,113546.0,57547.0,4132351.0,1
2021,2,148989.0,1175097.0,41318.0,5580.0,29371.0,1400355.0,2
2021,2,20305.0,9426.0,22331.0,1449.0,2233.0,55744.0,3
2021,2,39826.0,62948.0,27584.0,8018.0,2353.0,140729.0,4
2021,2,49271.0,41497.0,6081.0,23682.0,18706.0,139237.0,5
2021,2,239780.0,467782.0,151855.0,55944.0,15519.0,930880.0,6
2021,2,46648.0,67262.0,3731.0,6557.0,5303.0,129501.0,7
2021,2,77836.0,124957.0,17856.0,23786.0,13197.0,257632.0,8
2021,2,19571.0,12509.0,3610.0,15690.0,171.0,51551.0,9
2021,2,24738.0,60800.0,19611.0,2731.0,3968.0,111848.0,10
2021,2,9017.0,57014.0,17132.0,13209.0,1295.0,97667.0,11
2021,2,11627.0,54255.0,9445.0,6245.0,30.0,81602.0,12
2021,2,91503.0,70834.0,44696.0,21811.0,827.0,229671.0,13
2021,2,44960.0,87861.0,10376.0,5317.0,7662.0,156176.0,14
2021,2,30083.0,72690.0,15619.0,19218.0,640.0,138250.0,15
2021,2,48189.0,43761.0,18727.0,15031.0,18376.0,144084.0,16
2021,2,51396.0,96016.0,32050.0,5724.0,6453.0,191639.0,17
2021,2,40072.0,12369.0,6673.0,11372.0,8447.0,78933.0,18
2021,2,8417.0,11308.0,28.0,66860.0,36205.0,122818.0,19
2021,2,12347.0,22967.0,6328.0,4269.0,3071.0,48982.0,20
2021,2,256741.0,431915.0,90424.0,43997.0,17523.0,840600.0,21
2021,2,20734.0,83770.0,909.0,5081.0,3596.0,114090.0,22
2021,2,12853.0,22504.0,6.0,14.0,316.0,35693.0,23
2021,2,110429.0,48359.0,71683.0,1837.0,743.0,233051.0,24
2021,1,629679.0,2452056.0,821597.0,98806.0,57864.0,4060002.0,1
2021,1,159805.0,1145093.0,39980.0,5559.0,29236.0,1379673.0,2
2021,1,26316.0,4409.0,18688.0,322.0,2233.0,51968.0,3
2021,1,43214.0,61251.0,25426.0,8004.0,1875.0,139770.0,4
2021,1,45501.0,40960.0,3444.0,23723.0,18712.0,132340.0,5
2021,1,260350.0,444695.0,134634.0,54137.0,17065.0,910881.0,6
2021,1,49160.0,62876.0,3337.0,5949.0,5303.0,126625.0,7
2021,1,83688.0,118424.0,16846.0,20836.0,12169.0,251963.0,8
2021,1,20663.0,11412.0,2562.0,15669.0,380.0,50686.0,9
2021,1,32254.0,54324.0,17322.0,2677.0,3879.0,110456.0,10
2021,1,8946.0,58711.0,15779.0,12369.0,1300.0,97105.0,11
2021,1,17363.0,34984.0,1.0,250.0,30.0,52628.0,12
2021,1,91844.0,69295.0,38619.0,18332.0,833.0,218923.0,13
2021,1,48292.0,82339.0,7064.0,4796.0,6896.0,149387.0,14
2021,1,30223.0,70457.0,14171.0,17752.0,632.0,133235.0,15
2021,1,48777.0,42192.0,17828.0,13994.0,18377.0,141168.0,16
2021,1,54768.0,89187.0,31498.0,5669.0,6452.0,187574.0,17
2021,1,40072.0,11589.0,6671.0,11482.0,8453.0,78267.0,18
2021,1,8417.0,10678.0,28.0,63826.0,36205.0,119154.0,19
2021,1,12347.0,23089.0,5975.0,4264.0,390.0,46065.0,20
2021,1,277012.0,421480.0,70976.0,39140.0,17519.0,826127.0,21
2021,1,26468.0,75849.0,570.0,5158.0,3596.0,111641.0,22
2021,1,12853.0,27247.0,6.0,0.0,316.0,40422.0,23
2021,1,147199.0,12185.0,69954.0,1834.0,740.0,231912.0,24
2020,4,635651.0,2441248.0,804991.0,93444.0,57927.0,4033261.0,1
2020,4,163060.0,1142528.0,39890.0,4815.0,29237.0,1379530.0,2
2020,4,26870.0,5115.0,17856.0,322.0,2233.0,52396.0,3
2020,4,44332.0,61200.0,23687.0,7997.0,1875.0,139091.0,4
2020,4,45703.0,39756.0,3040.0,23363.0,18712.0,130574.0,5
2020,4,267396.0,439322.0,125620.0,52827.0,17536.0,902701.0,6
2020,4,50102.0,61495.0,3146.0,5626.0,5290.0,125659.0,7
2020,4,85683.0,113670.0,15653.0,20206.0,12169.0,247381.0,8
2020,4,21264.0,10789.0,2432.0,15341.0,380.0,50206.0,9
2020,4,32850.0,52815.0,15639.0,1077.0,3470.0,105851.0,10
2020,4,9009.0,58945.0,15432.0,12194.0,1315.0,96895.0,11
2020,4,17513.0,34984.0,1.0,250.0,30.0,52778.0,12
2020,4,91842.0,68364.0,36083.0,18331.0,833.0,215453.0,13
2020,4,49462.0,79855.0,6589.0,4359.0,6896.0,147161.0,14
2020,4,30468.0,70614.0,13732.0,17689.0,632.0,133135.0,15
2020,4,48991.0,42022.0,17826.0,13994.0,18377.0,141210.0,16
2020,4,56659.0,87817.0,30604.0,5858.0,6452.0,187390.0,17
2020,4,40072.0,7004.0,6599.0,10468.0,8453.0,72596.0,18
2020,4,8417.0,11767.0,27.0,63019.0,36205.0,119435.0,19
2020,4,12347.0,19657.0,1041.0,4659.0,2970.0,40674.0,20
2020,4,287271.0,414746.0,62692.0,38712.0,17392.0,820813.0,21
2020,4,26812.0,70522.0,570.0,5169.0,3596.0,106669.0,22
2020,4,12853.0,26439.0,6.0,0.0,316.0,39614.0,23
2020,4,149322.0,11150.0,68043.0,1834.0,740.0,231089.0,24
2020,3,653930.0,2384557.0,749087.0,94162.0,55541.0,3937277.0,1
2020,3,170375.0,1129573.0,39417.0,3936.0,29374.0,1372675.0,2
2020,3,26868.0,3690.0,16857.0,261.0,2228.0,49904.0,3
2020,3,45745.0,58825.0,20675.0,6706.0,2003.0,133954.0,4
2020,3,45761.0,39386.0,2897.0,23216.0,18767.0,130027.0,5
2020,3,276360.0,430771.0,102217.0,48368.0,9756.0,867472.0,6
2020,3,50858.0,58681.0,2960.0,5513.0,5379.0,123391.0,7
2020,3,87892.0,106950.0,13954.0,20379.0,12320.0,241495.0,8
2020,3,21790.0,10003.0,2000.0,15023.0,393.0,49209.0,9
2020,3,32611.0,57682.0,11112.0,952.0,4371.0,106728.0,10
2020,3,9015.0,56845.0,14677.0,11893.0,1305.0,93735.0,11
2020,3,17346.0,34984.0,1.0,250.0,35.0,52616.0,12
2020,3,91908.0,64672.0,32817.0,17523.0,868.0,207788.0,13
2020,3,50195.0,77989.0,2572.0,3445.0,8985.0,143186.0,14
2020,3,30222.0,70446.0,11043.0,16787.0,737.0,129235.0,15
2020,3,49530.0,40001.0,10381.0,13187.0,18368.0,131467.0,16
2020,3,58216.0,84128.0,25445.0,5764.0,7293.0,180846.0,17
2020,3,40092.0,9223.0,5509.0,14023.0,8480.0,77327.0,18
2020,3,8401.0,10077.0,6.0,61828.0,36253.0,116565.0,19
2020,3,12845.0,16098.0,1027.0,6938.0,2373.0,39281.0,20
2020,3,295051.0,405807.0,45721.0,37112.0,19307.0,802998.0,21
