Año,Trimestre,Banda ancha fija,Dial up,Total,id_provincia
2020,2,118863,3.0,118866,7
2020,2,234100,13.0,234113,8
2020,2,47932,0.0,47932,9
2020,2,94316,0.0,94316,10
2020,2,89693,116.0,89809,11
2020,2,52152,3.0,52155,12
2020,2,200569,615.0,201184,13
2020,2,140340,0.0,140340,14
2020,2,125799,373.0,126172,15
2020,2,128985,501.0,129486,16
2020,2,177760,2.0,177762,17
2020,2,69521,256.0,69777,18
2020,2,113804,148.0,113952,19
2020,2,38672,197.0,38869,20
2020,2,777795,137.0,777932,21
2020,2,105446,1.0,105447,22
2020,2,38900,289.0,39189,23
2020,2,217134,22.0,217156,24
2020,1,3702985,5066.0,3708051,1
2020,1,1352104,1390.0,1353494,2
2020,1,39634,1.0,39635,3
2020,1,120274,3.0,120277,4
2020,1,95938,800.0,96738,5
2020,1,811044,55.0,811099,6
2020,1,113967,3.0,113970,7
2020,1,231833,13.0,231846,8
2020,1,46434,0.0,46434,9
2020,1,91665,0.0,91665,10
2020,1,89110,116.0,89226,11
2020,1,48337,3.0,48340,12
2020,1,182837,615.0,183452,13
2020,1,133552,0.0,133552,14
2020,1,121354,373.0,121727,15
2020,1,125699,501.0,126200,16
2020,1,170379,2.0,170381,17
2020,1,63975,256.0,64231,18
2020,1,110404,148.0,110552,19
2020,1,38625,197.0,38822,20
2020,1,770981,137.0,771118,21
2020,1,102754,1.0,102755,22
2020,1,38505,289.0,38794,23
2020,1,200045,22.0,200067,24
2019,4,3681120,5134.0,3686254,1
2019,4,1356695,1410.0,1358105,2
2019,4,38310,1.0,38311,3
2019,4,117900,3.0,117903,4
2019,4,95292,810.0,96102,5
2019,4,806633,55.0,806688,6
2019,4,113831,3.0,113834,7
2019,4,239017,13.0,239030,8
2019,4,46711,0.0,46711,9
2019,4,88881,0.0,88881,10
2019,4,90280,119.0,90399,11
2019,4,48999,3.0,49002,12
2019,4,185157,623.0,185780,13
2019,4,135813,0.0,135813,14
2019,4,116069,376.0,116445,15
2019,4,126636,504.0,127140,16
2019,4,172443,2.0,172445,17
2019,4,64715,259.0,64974,18
2019,4,108053,148.0,108201,19
2019,4,39170,200.0,39370,20
2019,4,769019,150.0,769169,21
2019,4,103587,1.0,103588,22
2019,4,40101,291.0,40392,23
2019,4,198621,23.0,198644,24
2019,3,3950114,10119.0,3960233,1
2019,3,1437734,3477.0,1441211,2
2019,3,32391,9.0,32400,3
2019,3,114438,13.0,114451,4
2019,3,87481,1524.0,89005,5
2019,3,782946,107.0,783053,6
2019,3,112749,10.0,112759,7
2019,3,238057,45.0,238102,8
2019,3,46066,0.0,46066,9
2019,3,86575,1.0,86576,10
2019,3,90559,269.0,90828,11
2019,3,49659,18.0,49677,12
2019,3,223015,1322.0,224337,13
2019,3,133883,0.0,133883,14
2019,3,123435,1986.0,125421,15
2019,3,143391,904.0,144295,16
2019,3,151834,1.0,151835,17
2019,3,72535,563.0,73098,18
2019,3,122409,291.0,122700,19
2019,3,37642,328.0,37970,20
2019,3,760706,228.0,760934,21
2019,3,133130,2.0,133132,22
2019,3,48043,544.0,48587,23
2019,3,164099,32.0,164131,24
2019,2,3845594,10104.0,3855698,1
2019,2,1412177,3443.0,1415620,2
2019,2,33626,9.0,33635,3
2019,2,108721,13.0,108734,4
2019,2,86038,1518.0,87556,5
2019,2,775023,105.0,775128,6
2019,2,111539,10.0,111549,7
2019,2,235780,44.0,235824,8
2019,2,46438,0.0,46438,9
2019,2,86706,1.0,86707,10
2019,2,89937,268.0,90205,11
2019,2,50283,18.0,50301,12
2019,2,222535,1322.0,223857,13
2019,2,132878,0.0,132878,14
2019,2,120954,1999.0,122953,15
2019,2,137632,915.0,138547,16
2019,2,142567,1.0,142568,17
2019,2,69461,564.0,70025,18
2019,2,117094,291.0,117385,19
2019,2,30225,325.0,30550,20
2019,2,743258,226.0,743484,21
2019,2,126752,2.0,126754,22
2019,2,46910,544.0,47454,23
2019,2,166299,32.0,166331,24
2019,1,3736563,10104.0,3746667,1
2019,1,1396157,3443.0,1399600,2
2019,1,33613,9.0,33622,3
2019,1,103664,13.0,103677,4
2019,1,78260,1518.0,79778,5
2019,1,744010,105.0,744115,6
2019,1,102477,10.0,102487,7
2019,1,232403,44.0,232447,8
2019,1,45211,0.0,45211,9
2019,1,90146,1.0,90147,10
2019,1,88892,268.0,89160,11
2019,1,51638,18.0,51656,12
2019,1,204976,1322.0,206298,13
2019,1,122720,0.0,122720,14
2019,1,112321,2056.0,114377,15
2019,1,120173,915.0,121088,16
2019,1,136019,1.0,136020,17
2019,1,61881,564.0,62445,18
2019,1,96044,291.0,96335,19
2019,1,24580,325.0,24905,20
2019,1,736851,227.0,737078,21
