Año,Trimestre,Provincia,Accesos por cada 100 hogares
2019,1,Tucumán,41.63
2018,4,Buenos Aires,64.6
2018,4,Capital Federal,108.27
2018,4,Catamarca,32.23
2018,4,Chaco,32.59
2018,4,Chubut,42.61
2018,4,Córdoba,65.09
2018,4,Corrientes,34.57
2018,4,Entre Ríos,54.37
2018,4,Formosa,29.74
2018,4,Jujuy,46.53
2018,4,La Pampa,73.49
2018,4,La Rioja,50.35
2018,4,Mendoza,37.76
2018,4,Misiones,34.45
2018,4,Neuquén,59.07
2018,4,Río Negro,51.86
2018,4,Salta,39.8
2018,4,San Juan,31.9
2018,4,San Luis,67.55
2018,4,Santa Cruz,23.69
2018,4,Santa Fe,65.59
2018,4,Santiago Del Estero,37.4
2018,4,Tierra Del Fuego,93.59
2018,4,Tucumán,41.76
2018,3,Buenos Aires,64.44
2018,3,Capital Federal,108.45
2018,3,Catamarca,32.92
2018,3,Chaco,32.28
2018,3,Chubut,56.39
2018,3,Córdoba,64.24
2018,3,Corrientes,34.25
2018,3,Entre Ríos,50.22
2018,3,Formosa,29.58
2018,3,Jujuy,23.26
2018,3,La Pampa,71.75
2018,3,La Rioja,50.73
2018,3,Mendoza,37.99
2018,3,Misiones,32.1
2018,3,Neuquén,60.49
2018,3,Río Negro,50.54
2018,3,Salta,39.43
2018,3,San Juan,33.05
2018,3,San Luis,52.35
2018,3,Santa Cruz,32.73
2018,3,Santa Fe,63.41
2018,3,Santiago Del Estero,36.25
2018,3,Tierra Del Fuego,92.77
2018,3,Tucumán,41.68
2018,2,Buenos Aires,62.78
2018,2,Capital Federal,106.53
2018,2,Catamarca,32.86
2018,2,Chaco,31.25
2018,2,Chubut,54.9
2018,2,Córdoba,63.27
2018,2,Corrientes,33.81
2018,2,Entre Ríos,49.2
2018,2,Formosa,29.43
2018,2,Jujuy,23.43
2018,2,La Pampa,71.04
2018,2,La Rioja,50.98
2018,2,Mendoza,36.97
2018,2,Misiones,31.63
2018,2,Neuquén,60.24
2018,2,Río Negro,50.15
2018,2,Salta,39.94
2018,2,San Juan,32.95
2018,2,San Luis,15.15
2018,2,Santa Cruz,33.33
2018,2,Santa Fe,62.57
2018,2,Santiago Del Estero,35.26
2018,2,Tierra Del Fuego,91.61
2018,2,Tucumán,41.51
