Año,Trimestre,Provincia,Otros,"0,256 Mbps","0,375 Mbps","0,625 Mbps","0,5 Mbps","0,512 Mbps","0,75 Mbps",1 Mbps,"1,2 Mbps","1,25 Mbps","1,5 Mbps",2 Mbps,"2,2 Mbps","2,5 Mbps","6,7 Mbps",3 Mbps,"3,2 Mbps","3,3 Mbps","3,5 Mbps",4 Mbps,"4,5 Mbps",5 Mbps,6 Mbps,"6,4 Mbps",7 Mbps,"7,5 Mbps",8 Mbps,9 Mbps,10 Mbps,"10,2 Mbps","10,6 Mbps",11 Mbps,12 Mbps,"12,3 Mbps",13 Mbps,14 Mbps,15 Mbps,16 Mbps,17 Mbps,18 Mbps,19 Mbps,20 Mbps,"20,5 Mbps",21 Mbps,22 Mbps,23 Mbps,24 Mbps,25 Mbps,"25,1 Mbps","25,11 Mbps","25,5 Mbps",26 Mbps,27 Mbps,28 Mbps,29 Mbps,30 Mbps,31 Mbps,32 Mbps,34 Mbps,35 Mbps,36 Mbps,37 Mbps,38 Mbps,39 Mbps,40 Mbps,41 Mbps,45 Mbps,46 Mbps,47 Mbps,48 Mbps,49 Mbps,50 Mbps,"50,1 Mbps",51 Mbps,"50,25 Mbps",52 Mbps,54 Mbps,55 Mbps,56 Mbps,58 Mbps,59 Mbps,60 Mbps,61 Mbps,62 Mbps,63 Mbps,64 Mbps,65 Mbps,66 Mbps,67 Mbps,68 Mbps,70 Mbps,71 Mbps,75 Mbps,77 Mbps
2022,3,Catamarca,2280,0,0,0,34.0,37,0,315,0,0,0,115,0,0,0,979.0,0,0,0,0,0,71,1551,0,1,0,0,0,5027.0,,0,0,407,,0,0,742,0,0,0,0,3489,0,0,0,0,2228,1,0,0,0,0,0,0,0,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,3,Chaco,3909,0,225,111,234.0,2,0,660,0,25,0,780,0,0,0,3909.0,0,0,167,385,0,3588,7213,0,106,0,702,1,17037.0,,0,0,137,,0,0,2808,0,0,0,0,3759,0,0,0,0,0,747,0,0,0,0,0,0,0,2303,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,27538,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,3,Chubut,20026,8,0,0,69.0,32,836,778,0,0,0,5910,0,0,0,5397.0,0,0,11441,5571,0,2407,15731,0,155,0,12646,151,18055.0,,0,1,14445,,0,32,18677,0,0,0,0,1573,0,0,0,0,2967,4134,0,0,0,0,0,0,0,9658,0,0,0,0,0,0,0,0,18,0,0,0,0,140,0,17350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,3,Córdoba,17610,2,0,0,87.0,10,83,9846,0,0,7,8156,21,154,0,35410.0,0,4,4897,13730,0,7765,73542,7,2772,0,13784,1761,89871.0,,0,87,8527,,35,10,25249,134,0,58,0,28939,1,3,0,0,2,15300,111,0,31,0,0,0,0,5371,0,0,0,8,0,0,0,0,218,0,0,0,0,0,0,202477,23,0,6,0,0,0,0,0,0,4954,0,0,0,0,0,0,0,0,6,0,54,0
2022,3,Corrientes,7998,0,0,0,10.0,57,118,3164,0,0,0,2959,0,0,0,6371.0,0,0,480,1738,0,1795,9304,0,0,0,4584,0,20274.0,,0,0,2,,0,0,1773,1108,0,0,0,4142,0,0,0,0,0,425,0,0,0,0,0,0,0,3359,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,3,Entre Ríos,0,1,0,0,20.0,86,113,4609,0,0,0,5452,0,0,0,9830.0,0,0,390,2610,0,5716,21631,0,1139,0,2400,0,43161.0,,0,0,2828,,0,0,4657,1,0,1,0,13440,0,0,0,0,1,758,0,0,0,0,0,0,0,21742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34033,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0
2022,3,Formosa,698,0,0,0,49.0,35,0,245,0,0,0,1631,0,0,0,10385.0,0,0,0,3296,0,1714,5432,0,108,0,137,0,12146.0,,0,0,40,,0,0,1326,0,0,0,0,5358,0,0,0,0,0,8,0,0,0,0,0,0,0,306,0,0,0,2,0,0,0,0,32,0,0,0,0,0,0,946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,3,Jujuy,0,0,0,0,26.0,32,0,1763,0,0,0,1639,0,0,0,3947.0,0,0,0,3364,0,5125,4577,0,10,0,1114,0,12946.0,,0,0,23494,,0,0,642,0,0,4,0,12290,0,0,0,0,0,29,0,0,0,1,0,0,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,3,La Pampa,16028,1,0,0,6.0,61,143,1544,0,0,185,3218,0,0,0,7809.0,0,0,2327,3018,0,2291,33770,0,516,0,1789,0,8029.0,,0,0,15,,0,0,4386,0,0,0,0,4766,0,0,0,0,0,5,0,0,0,0,0,0,0,4477,0,0,0,1,0,0,0,0,123,0,0,0,0,0,0,16423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,3,La Rioja,0,0,0,0,9.0,9,0,595,0,0,0,8,0,0,0,735.0,0,0,0,2,0,163,1623,0,0,0,85,0,2925.0,,0,22,15802,,0,0,475,0,0,0,0,8136,0,0,0,0,519,1,0,0,0,0,0,0,0,4511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
