Provincia,Partido,Localidad,Link Indec,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general
CATAMARCA,Tinogasta,Tinogasta,10105180,486,0,0,1828,0,2,0,0,2316
CATAMARCA,Valle Viejo,El Portezuelo,10112010,0,0,0,0,0,6,0,0,6
CATAMARCA,Valle Viejo,San Isidro,10112040,0,0,0,2697,0,0,0,5,2702
CATAMARCA,Valle Viejo,Santa Rosa,10112030,0,0,0,759,0,0,0,5,764
CATAMARCA,Valle Viejo,Villa Dolores,10112030,0,0,0,103,0,0,0,5,108
CATAMARCA,Valle Viejo,Sumalao,10112030,0,0,0,1,0,0,0,5,6
CATAMARCA,Valle Viejo,Polcos,10112030,0,0,0,213,0,0,0,0,213
CATAMARCA,Valle Viejo,Pozo Del Mistol,10112030,0,0,0,18,0,0,0,0,18
CATAMARCA,Valle Viejo,El Bañado,10112030,0,0,0,7,0,0,0,0,7
CATAMARCA,Fray Mamerto Esquiú,San Antonio,10063050,0,0,0,4,0,0,0,0,4
CATAMARCA,Fray Mamerto Esquiú,Villa Las Pirquitas,10063050,0,0,0,0,0,1,0,0,1
CATAMARCA,Fray Mamerto Esquiú,La Carrera,10063050,0,0,0,0,0,1,0,0,1
CATAMARCA,Fray Mamerto Esquiú,El Hueco,10063050,0,0,0,26,0,0,0,0,26
CATAMARCA,Fray Mamerto Esquiú,La Falda De San Antonio,10063050,0,0,0,0,0,0,0,5,5
CATAMARCA,Fray Mamerto Esquiú,La Tercena,10063050,0,0,0,0,0,0,0,5,5
CHACO,12 de Octubre,Gancedo,22036010,0,0,0,26,0,2,0,103,131
CHACO,12 de Octubre,General Pinedo,22036030,182,0,0,538,0,2,0,1,723
CHACO,1º de Mayo,Colonia Benítez,22126020,136,0,0,11,0,1,0,2,150
CHACO,1º de Mayo,Margarita Belén,22126030,337,0,0,0,0,0,0,261,598
CHACO,2 de Abril,Hermoso Campo,22039010,0,28,0,203,0,1,0,0,232
CHACO,2 de Abril,Itín,22039020,0,0,0,38,478,0,0,0,516
CHACO,25 de Mayo,Colonia Aborigen,22168010,0,0,0,0,0,0,0,46,46
CHACO,25 de Mayo,Machagai,22168020,334,358,0,45,0,0,0,269,1006
CHACO,9 de Julio,Las Breñas,22105010,1226,0,0,74,0,1,0,0,1301
CHACO,Almirante Brown,Concepción del Bermejo,22007010,0,0,0,373,0,2,0,230,605
CHACO,Almirante Brown,Los Frentones,22007020,0,0,0,344,0,1,0,0,345
CHACO,Almirante Brown,Pampa del Infierno,22007030,0,0,0,1375,0,5,0,65,1445
CHACO,Almirante Brown,Taco Pozo,22007050,0,0,0,416,0,4,0,0,420
CHACO,Bermejo,General Vedia,22014010,141,0,0,30,0,1,0,155,327
CHACO,Bermejo,Isla del Cerrito,22014020,0,0,0,0,0,1,0,0,1
CHACO,Bermejo,La Leonesa,22014030,518,0,0,0,0,0,0,228,746
CHACO,Bermejo,Las Palmas,22014040,0,0,0,46,0,1,0,296,343
CHACO,Bermejo,Puerto Bermejo Nuevo,22014050,0,0,0,14,0,0,0,78,92
CHACO,Bermejo,Puerto Eva Perón,22014070,0,0,0,15,0,1,0,41,57
CHACO,Chacabuco,Charata,22028010,1812,0,0,1277,0,2,0,230,3321
CHACO,Comandante Fernández,Presidencia Roque Sáenz Peña,22021010,3176,129,0,6501,24,2,0,116,9948
CHACO,Fray Justo Santa María De Oro,Chorotis,22043010,0,0,0,0,25,0,0,0,25
CHACO,Fray Justo Santa María De Oro,OTROS,Sin Datos,0,0,0,0,60,0,0,0,60
CHACO,Fray Justo Santa María De Oro,Santa Sylvina,22043020,0,32,0,0,950,1,0,0,983
CHACO,General Belgrano,Corzuela,22049010,156,0,0,48,0,1,0,28,233
CHACO,General Donovan,La Escondida,22056010,50,272,0,189,0,2,0,0,513
CHACO,General Donovan,La Verde,22056020,14,0,0,39,460,2,0,0,515
CHACO,General Donovan,Lapachito,22056030,1,0,0,61,0,0,0,0,62
CHACO,General Donovan,Makallé,22056040,35,427,0,0,12,1,0,0,475
CHACO,General Güemes,El Espinillo,22063010,0,0,0,0,0,1,0,0,1
CHACO,General Güemes,El Sauzal,22063020,0,0,0,0,0,2,0,62,64
CHACO,General Güemes,El Sauzalito,22063030,0,0,0,0,0,1,0,0,1
CHACO,General Güemes,Fortín Lavalle,22063040,0,0,0,0,0,0,0,36,36
CHACO,General Güemes,Fuerte Esperanza,22063050,0,0,0,8,0,2,0,0,10
CHACO,General Güemes,Juan José Castelli,22063060,542,0,0,294,0,0,0,690,1526
CHACO,General Güemes,Miraflores,22063070,0,0,0,0,0,0,0,630,630
CHACO,General Güemes,Nueva Pompeya,22063080,0,0,0,1,0,3,0,308,312
CHACO,General Güemes,Villa Río Bermejito,22063100,4,0,0,194,0,2,0,222,422
CHACO,General Güemes,Wichi,22063110,0,0,0,0,0,2,0,91,93
CHACO,Independencia,Avia Terai,22070010,80,0,0,42,0,1,0,1,124
CHACO,Independencia,Campo Largo,22070020,120,0,0,482,3,0,0,0,605
CHACO,Libertad,Laguna Blanca,22077030,0,0,0,0,0,2,0,6,8
CHACO,Libertad,Puerto Tirol,22077040,500,1,0,375,0,0,0,73,949
CHACO,Libertad,Colonia Popular,22077010,0,0,0,0,0,0,0,5,5
CHACO,Libertador General San Martín,Ciervo Petiso,22084010,0,0,0,0,46,1,0,0,47
CHACO,Libertador General San Martín,General José de San Martín,22084020,465,1053,0,5092,0,0,0,450,7060
CHACO,Libertador General San Martín,La Eduvigis,22084030,0,0,0,0,0,1,0,0,1
CHACO,Libertador General San Martín,Laguna Limpia,22084040,0,0,0,0,0,0,0,81,81
CHACO,Libertador General San Martín,Pampa Almirón,22084050,0,0,0,26,0,0,0,27,53
CHACO,Libertador General San Martín,Pampa del Indio,22084060,0,0,0,25,0,2,0,515,542
CHACO,Libertador General San Martín,Presidencia Roca,22084070,0,0,0,13,0,2,0,119,134
CHACO,Maipú,Tres Isletas,22091010,414,0,0,0,0,0,0,77,491
CHACO,Mayor Luis J. Fontana,Coronel Du Graty,22098010,122,73,0,264,0,1,0,516,976
CHACO,Mayor Luis J. Fontana,Enrique Urién,22098020,0,0,0,37,0,0,0,0,37
CHACO,Mayor Luis J. Fontana,Villa Angela,22098030,2515,1,0,852,0,0,0,406,3774
CHACO,O Higgins,La Clotilde,22112010,0,32,0,78,116,1,0,0,227
CHACO,O Higgins,La Tigra,22112020,1,0,0,0,252,1,0,0,254
CHACO,O Higgins,San Bernardo,22112030,147,0,0,14,38,3,0,0,202
CHACO,OTROS,OTROS,Sin Datos,0,0,0,0,24,0,0,0,24
CHACO,Presidencia de la Plaza,Presidencia de la Plaza,22119010,196,550,0,58,0,0,0,1,805
CHACO,Quitilipi,Quitilipi,22133010,813,0,0,69,0,0,0,123,1005
CHACO,Quitilipi,Villa El Palmar,22133020,0,0,0,0,0,0,0,43,43
CHACO,San Fernando,Barranqueras,22140010,115,3867,0,146,0,0,0,15,4143
CHACO,San Fernando,Basail,22140020,97,67,0,0,0,1,0,57,222
CHACO,San Fernando,Fontana,22140040,0,0,0,110,0,0,0,147,257
CHACO,San Fernando,OTROS,Sin Datos,0,0,0,0,0,3,0,0,3
CHACO,San Fernando,Puerto Vilelas,22140050,0,0,0,9,0,1,0,0,10
CHACO,San Fernando,Resistencia,22140060,10333,54375,5,26973,2,6,0,193,91887
CHACO,San Lorenzo,Samuhú,22147010,0,0,0,0,0,1,0,0,1
CHACO,San Lorenzo,Villa Berthet,22147020,0,0,0,32,0,1,0,755,788
CHACO,Sargento Cabral,Capitán Solari,22154010,0,0,0,81,0,0,0,30,111
CHACO,Sargento Cabral,Colonia Elisa,22154020,0,0,0,0,0,2,0,0,2
CHACO,Sargento Cabral,Colonias Unidas,22154030,0,0,0,320,0,0,0,15,335
CHACO,Sargento Cabral,Las Garcitas,22154050,0,0,0,0,0,1,0,114,115
CHACO,Tapenagá,Charadai,22161010,0,0,0,27,0,1,0,0,28
CHUBUT,Biedma,Arroyo Verde,26007010,0,0,0,0,0,3,0,0,3
CHUBUT,Biedma,Puerto Madryn,26007020,3648,24546,200,3781,5283,11,0,2756,40225
CHUBUT,Biedma,Puerto Pirámide,26007030,0,0,0,0,0,1,0,37,38
CHUBUT,Biedma,Quinta El Mirador,26007040,0,0,0,0,0,0,0,22,22
CHUBUT,Biedma,Reserva Area Protegida El Doradillo,26007050,0,0,0,0,0,0,0,127,127
CHUBUT,Cushamen,Cholila,26014020,0,0,1,0,0,1,0,0,2
CHUBUT,Cushamen,El Hoyo,26014040,174,0,0,485,0,0,0,712,1371
CHUBUT,Cushamen,Epuyén,26014060,1184,0,0,0,0,0,0,0,1184
CHUBUT,Cushamen,Gualjaina,26014070,0,0,0,0,0,2,0,0,2
