Año,Trimestre,Provincia,Mbps (Media de bajada)
2020,2,San Luis,2.102
2020,2,Santa Cruz,659.0
2020,2,Santa Fe,2.393
2020,2,Santiago Del Estero,1.041
2020,2,Tierra Del Fuego,813.0
2020,2,Tucumán,3.27
2020,1,Buenos Aires,4.518
2020,1,Capital Federal,5.871
2020,1,Catamarca,2.913
2020,1,Chaco,2.594
2020,1,Chubut,712.0
2020,1,Córdoba,2.939
2020,1,Corrientes,2.054
2020,1,Entre Ríos,1.903
2020,1,Formosa,1.57
2020,1,Jujuy,1.414
2020,1,La Pampa,729.0
2020,1,La Rioja,796.0
2020,1,Mendoza,844.0
2020,1,Misiones,2.215
2020,1,Neuquén,2.777
2020,1,Río Negro,1.906
2020,1,Salta,2.143
2020,1,San Juan,604.0
2020,1,San Luis,2.099
2020,1,Santa Cruz,642.0
2020,1,Santa Fe,2.242
2020,1,Santiago Del Estero,1.0
2020,1,Tierra Del Fuego,741.0
2020,1,Tucumán,3.225
2019,4,Buenos Aires,3.077
2019,4,Capital Federal,4.42
2019,4,Catamarca,2.488
2019,4,Chaco,2.337
2019,4,Chubut,699.0
2019,4,Córdoba,2.616
2019,4,Corrientes,1.926
2019,4,Entre Ríos,1.701
2019,4,Formosa,1.453
2019,4,Jujuy,1.296
2019,4,La Pampa,653.0
2019,4,La Rioja,800.0
2019,4,Mendoza,779.0
2019,4,Misiones,2.032
2019,4,Neuquén,2.602
2019,4,Río Negro,1.718
2019,4,Salta,1.908
2019,4,San Juan,604.0
2019,4,San Luis,2.069
2019,4,Santa Cruz,521.0
2019,4,Santa Fe,2.055
2019,4,Santiago Del Estero,979.0
2019,4,Tierra Del Fuego,727.0
2019,4,Tucumán,2.987
2019,3,Buenos Aires,2.568
2019,3,Capital Federal,3.871
2019,3,Catamarca,929.0
2019,3,Chaco,1.999
2019,3,Chubut,697.0
2019,3,Córdoba,2.319
2019,3,Corrientes,1.67
2019,3,Entre Ríos,1.47
2019,3,Formosa,1.322
2019,3,Jujuy,1.197
2019,3,La Pampa,572.0
2019,3,La Rioja,800.0
2019,3,Mendoza,611.0
2019,3,Misiones,1.793
2019,3,Neuquén,2.375
2019,3,Río Negro,1.598
2019,3,Salta,1.475
2019,3,San Juan,604.0
2019,3,San Luis,1.974
2019,3,Santa Cruz,502.0
2019,3,Santa Fe,1.817
2019,3,Santiago Del Estero,939.0
2019,3,Tierra Del Fuego,669.0
2019,3,Tucumán,1.932
2019,2,Buenos Aires,2.248
2019,2,Capital Federal,3.035
2019,2,Catamarca,881.0
2019,2,Chaco,1.601
2019,2,Chubut,605.0
2019,2,Córdoba,1.843
2019,2,Corrientes,1.383
2019,2,Entre Ríos,1.219
2019,2,Formosa,1.084
2019,2,Jujuy,1.207
2019,2,La Pampa,549.0
2019,2,La Rioja,789.0
2019,2,Mendoza,603.0
2019,2,Misiones,1.45
2019,2,Neuquén,1.724
2019,2,Río Negro,1.163
2019,2,Salta,1.255
2019,2,San Juan,612.0
2019,2,San Luis,1.988
2019,2,Santa Cruz,601.0
2019,2,Santa Fe,1.507
2019,2,Santiago Del Estero,710.0
2019,2,Tierra Del Fuego,634.0
2019,2,Tucumán,1.853
2019,1,Buenos Aires,1.964
2019,1,Capital Federal,2.472
2019,1,Catamarca,796.0
2019,1,Chaco,1.344
2019,1,Chubut,589.0
2019,1,Córdoba,1.573
2019,1,Corrientes,1.205
2019,1,Entre Ríos,1.066
2019,1,Formosa,983.0
2019,1,Jujuy,856.0
2019,1,La Pampa,506.0
2019,1,La Rioja,709.0
2019,1,Mendoza,574.0
2019,1,Misiones,1.251
2019,1,Neuquén,1.588
2019,1,Río Negro,1.049
2019,1,Salta,1.038
2019,1,San Juan,584.0
2019,1,San Luis,871.0
2019,1,Santa Cruz,578.0
2019,1,Santa Fe,1.299
2019,1,Santiago Del Estero,642.0
2019,1,Tierra Del Fuego,634.0
2019,1,Tucumán,1.657
2018,4,Buenos Aires,1.693
2018,4,Capital Federal,2.294
2018,4,Catamarca,804.0
2018,4,Chaco,1.349
2018,4,Chubut,609.0
2018,4,Córdoba,1.581
2018,4,Corrientes,1.214
2018,4,Entre Ríos,1.102
2018,4,Formosa,982.0
2018,4,Jujuy,856.0
2018,4,La Pampa,432.0
2018,4,La Rioja,709.0
2018,4,Mendoza,575.0
2018,4,Misiones,1.25
2018,4,Neuquén,1.589
2018,4,Río Negro,1.049
2018,4,Salta,1.046
2018,4,San Juan,572.0
2018,4,San Luis,882.0
2018,4,Santa Cruz,512.0
2018,4,Santa Fe,1.318
2018,4,Santiago Del Estero,631.0
2018,4,Tierra Del Fuego,744.0
2018,4,Tucumán,1.658
2018,3,Buenos Aires,1.678
2018,3,Capital Federal,2.164
2018,3,Catamarca,781.0
2018,3,Chaco,1.289
2018,3,Chubut,608.0
2018,3,Córdoba,1.482
2018,3,Corrientes,1.149
2018,3,Entre Ríos,1.052
2018,3,Formosa,932.0
2018,3,Jujuy,767.0
2018,3,La Pampa,428.0
