Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total
2021,3,Río Negro,125.0,557.0,68.991,3.73,14.88,2.282,34.011,20.009,144.585
2021,3,Salta,101.0,20.0,41.431,70.104,6.962,3.878,67.010,6.327,195.833
2021,3,San Juan,18.0,333.0,59.873,752.0,13.25,338.0,278,4.641,79.483
2021,3,San Luis,60.0,0.0,11.552,2.405,6.491,67.942,22,29.392,117.864
2021,3,Santa Cruz,50.0,0.0,30.561,8.365,6.799,1.788,678,735.0,48.976
2021,3,Santa Fe,467.0,579.0,193.207,201.25,83.941,55.08,290.793,16.267,841.584
2021,3,Santiago Del Estero,123.0,909.0,32.752,61.838,11.274,801.0,6.863,898.0,115.458
2021,3,Tierra Del Fuego,17.0,0.0,23.723,13.397,9.782,1.433,976,895.0,50.223
2021,3,Tucumán,32.0,97.0,39.446,50.293,21.986,5.3,115.154,164.0,232.472
2021,2,Buenos Aires,37.192,31.178,1.096.049,244.001,140.322,236.897,2.337.604,9.108,4.132.351
2021,2,Capital Federal,294.0,603.0,157.558,73.568,43.859,86.655,1.037.752,66.0,1.400.355
2021,2,Catamarca,71.0,0.0,7.219,9.091,6.828,4.941,25.388,2.206,55.744
2021,2,Chaco,301.0,112.0,23.444,21.574,24.032,16.069,47.239,7.958,140.729
2021,2,Chubut,104.0,105.0,89.639,22.605,16.604,3.896,1.112,5.172,139.237
2021,2,Córdoba,99.0,2.452,201.757,136.516,66.95,70.824,442.357,9.925,930.880
2021,2,Corrientes,67.0,645.0,29.419,27.037,24.524,10.059,32.697,5.053,129.501
2021,2,Entre Ríos,107.0,3.024,63.518,55.349,39.468,18.484,61.605,16.077,257.632
2021,2,Formosa,381.0,0.0,22.364,7.31,7.46,1.341,11.077,1.618,51.551
2021,2,Jujuy,48.0,175.0,24.182,16.577,37.908,607.0,29.950,2.401,111.848
2021,2,La Pampa,298.0,554.0,64.146,7.769,8.128,3.399,9.311,4.062,97.667
2021,2,La Rioja,18.0,1.0,5.312,5.971,23.298,4.825,42.158,19.0,81.602
2021,2,Mendoza,36.0,31.0,137.462,10.886,56.117,4.403,20.686,50.0,229.671
2021,2,Misiones,51.0,5.0,41.643,25.907,25.811,16.172,38.308,8.279,156.176
2021,2,Neuquén,112.0,327.0,57.713,8.631,5.871,5.943,54.008,5.645,138.250
2021,2,Río Negro,125.0,557.0,69.356,3.663,15.019,3.867,31.488,20.009,144.084
2021,2,Salta,101.0,20.0,42.543,67.012,7.099,9.654,58.882,6.328,191.639
2021,2,San Juan,18.0,333.0,59.989,784.0,12.55,340.0,278,4.641,78.933
2021,2,San Luis,60.0,0.0,11.752,2.703,5.418,65.946,22,36.917,122.818
2021,2,Santa Cruz,50.0,0.0,30.595,8.463,6.888,1.575,676,735.0,48.982
2021,2,Santa Fe,467.0,896.0,202.018,204.077,80.452,75.195,262.124,15.371,840.600
2021,2,Santiago Del Estero,123.0,909.0,32.034,62.224,10.359,811.0,6.064,1.566,114.090
2021,2,Tierra Del Fuego,17.0,0.0,21.335,6.913,4.58,476.0,889,1.483,35.693
2021,2,Tucumán,32.0,97.0,40.224,51.648,23.732,5.022,109.616,2.68,233.051
2021,1,Buenos Aires,36.939,31.187,1.108.368,240.52,163.747,222.061,2.246.313,10.867,4.060.002
2021,1,Capital Federal,135.0,244.0,159.662,76.753,56.457,83.255,1.003.041,126.0,1.379.673
2021,1,Catamarca,71.0,0.0,7.423,8.455,10.115,712.0,22.996,2.196,51.968
2021,1,Chaco,301.0,112.0,24.357,22.102,27.556,14.496,42.462,8.384,139.770
2021,1,Chubut,106.0,109.0,86.986,21.401,15.392,2.844,1.112,4.39,132.340
2021,1,Córdoba,93.0,2.386,211.799,135.092,74.659,71.984,402.191,12.677,910.881
2021,1,Corrientes,67.0,527.0,31.544,26.223,26.169,9.001,27.641,5.453,126.625
2021,1,Entre Ríos,105.0,2.911,67.255,56.06,42.432,15.774,54.600,12.826,251.963
2021,1,Formosa,56.0,0.0,22.409,7.569,7.916,1.215,9.579,1.942,50.686
2021,1,Jujuy,49.0,175.0,23.735,17.293,40.649,568.0,25.609,2.378,110.456
2021,1,La Pampa,298.0,554.0,68.200,7.864,7.611,2.786,7.368,2.424,97.105
2021,1,La Rioja,18.0,1.0,36.749,5.968,4.604,215.0,5.074,-1.0,52.628
2021,1,Mendoza,28.0,40.0,134.386,11.216,52.533,4.061,16.615,44.0,218.923
2021,1,Misiones,51.0,524.0,40.949,25.503,27.101,14.05,32.953,8.256,149.387
2021,1,Neuquén,116.0,327.0,56.171,8.443,5.903,5.677,50.840,5.758,133.235
2021,1,Río Negro,125.0,466.0,70.011,4.187,13.045,3.642,29.589,20.103,141.168
2021,1,Salta,109.0,20.0,40.785,68.149,9.164,8.139,54.889,6.319,187.574
2021,1,San Juan,25.0,194.0,60.439,858.0,11.494,340.0,276,4.641,78.267
2021,1,San Luis,58.0,0.0,11.889,2.926,4.429,62.913,22,36.917,119.154
2021,1,Santa Cruz,50.0,0.0,30.655,8.334,6.987,1.337,647,-1.945,46.065
2021,1,Santa Fe,518.0,891.0,201.632,204.458,91.846,65.476,236.924,24.382,826.127
2021,1,Santiago Del Estero,123.0,909.0,33.884,58.464,8.549,700.0,4.868,4.144,111.641
2021,1,Tierra Del Fuego,17.0,0.0,21.379,1.468,4.317,486.0,919,11.836,40.422
2021,1,Tucumán,29.0,97.0,42.810,53.416,25.255,4.188,103.437,2.68,231.912
2020,4,Buenos Aires,36.939,31.197,1.109.865,242.243,214.171,213.588,2.176.242,9.016,4.033.261
2020,4,Capital Federal,135.0,244.0,160.210,78.123,60.208,80.269,1.000.073,268.0,1.379.530
