Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
2021,2,San Luis,8.0,11.0,28.0,67.0,36.0,123.0
2021,2,Santa Cruz,12.0,23.0,6.0,4.0,3.0,49.0
2021,2,Santa Fe,257.0,432.0,90.0,44.0,18.0,841.0
2021,2,Santiago Del Estero,21.0,84.0,909.0,5.0,4.0,114.0
2021,2,Tierra Del Fuego,13.0,23.0,6.0,14.0,316.0,36.0
2021,2,Tucumán,110.0,48.0,72.0,2.0,743.0,233.0
2021,1,Buenos Aires,630.0,2.0,822.0,99.0,58.0,4.0
2021,1,Capital Federal,160.0,1.0,40.0,6.0,29.0,1.0
2021,1,Catamarca,26.0,4.0,19.0,322.0,2.0,52.0
2021,1,Chaco,43.0,61.0,25.0,8.0,2.0,140.0
2021,1,Chubut,46.0,41.0,3.0,24.0,19.0,132.0
2021,1,Córdoba,260.0,445.0,135.0,54.0,17.0,911.0
2021,1,Corrientes,49.0,63.0,3.0,6.0,5.0,127.0
2021,1,Entre Ríos,84.0,118.0,17.0,21.0,12.0,252.0
2021,1,Formosa,21.0,11.0,3.0,16.0,380.0,51.0
2021,1,Jujuy,32.0,54.0,17.0,3.0,4.0,110.0
2021,1,La Pampa,9.0,59.0,16.0,12.0,1.0,97.0
2021,1,La Rioja,17.0,35.0,1.0,250.0,30.0,53.0
2021,1,Mendoza,92.0,69.0,39.0,18.0,833.0,219.0
2021,1,Misiones,48.0,82.0,7.0,5.0,7.0,149.0
2021,1,Neuquén,30.0,70.0,14.0,18.0,632.0,133.0
2021,1,Río Negro,49.0,42.0,18.0,14.0,18.0,141.0
2021,1,Salta,55.0,89.0,31.0,6.0,6.0,188.0
2021,1,San Juan,40.0,12.0,7.0,11.0,8.0,78.0
2021,1,San Luis,8.0,11.0,28.0,64.0,36.0,119.0
2021,1,Santa Cruz,12.0,23.0,6.0,4.0,390.0,46.0
2021,1,Santa Fe,277.0,421.0,71.0,39.0,18.0,826.0
2021,1,Santiago Del Estero,26.0,76.0,570.0,5.0,4.0,112.0
2021,1,Tierra Del Fuego,13.0,27.0,6.0,0.0,316.0,40.0
2021,1,Tucumán,147.0,12.0,70.0,2.0,740.0,232.0
2020,4,Buenos Aires,636.0,2.0,805.0,93.0,58.0,4.0
2020,4,Capital Federal,163.0,1.0,40.0,5.0,29.0,1.0
2020,4,Catamarca,27.0,5.0,18.0,322.0,2.0,52.0
2020,4,Chaco,44.0,61.0,24.0,8.0,2.0,139.0
2020,4,Chubut,46.0,40.0,3.0,23.0,19.0,131.0
2020,4,Córdoba,267.0,439.0,126.0,53.0,18.0,903.0
2020,4,Corrientes,50.0,61.0,3.0,6.0,5.0,126.0
2020,4,Entre Ríos,86.0,114.0,16.0,20.0,12.0,247.0
2020,4,Formosa,21.0,11.0,2.0,15.0,380.0,50.0
2020,4,Jujuy,33.0,53.0,16.0,1.0,3.0,106.0
2020,4,La Pampa,9.0,59.0,15.0,12.0,1.0,97.0
2020,4,La Rioja,18.0,35.0,1.0,250.0,30.0,53.0
2020,4,Mendoza,92.0,68.0,36.0,18.0,833.0,215.0
2020,4,Misiones,49.0,80.0,7.0,4.0,7.0,147.0
2020,4,Neuquén,30.0,71.0,14.0,18.0,632.0,133.0
2020,4,Río Negro,49.0,42.0,18.0,14.0,18.0,141.0
2020,4,Salta,57.0,88.0,31.0,6.0,6.0,187.0
2020,4,San Juan,40.0,7.0,7.0,10.0,8.0,73.0
2020,4,San Luis,8.0,12.0,27.0,63.0,36.0,119.0
2020,4,Santa Cruz,12.0,20.0,1.0,5.0,3.0,41.0
2020,4,Santa Fe,287.0,415.0,63.0,39.0,17.0,821.0
2020,4,Santiago Del Estero,27.0,71.0,570.0,5.0,4.0,107.0
2020,4,Tierra Del Fuego,13.0,26.0,6.0,0.0,316.0,40.0
2020,4,Tucumán,149.0,11.0,68.0,2.0,740.0,231.0
2020,3,Buenos Aires,654.0,2.0,749.0,94.0,56.0,4.0
2020,3,Capital Federal,170.0,1.0,39.0,4.0,29.0,1.0
2020,3,Catamarca,27.0,4.0,17.0,261.0,2.0,50.0
2020,3,Chaco,46.0,59.0,21.0,7.0,2.0,134.0
2020,3,Chubut,46.0,39.0,3.0,23.0,19.0,130.0
2020,3,Córdoba,276.0,431.0,102.0,48.0,10.0,867.0
2020,3,Corrientes,51.0,59.0,3.0,6.0,5.0,123.0
2020,3,Entre Ríos,88.0,107.0,14.0,20.0,12.0,241.0
2020,3,Formosa,22.0,10.0,2.0,15.0,393.0,49.0
2020,3,Jujuy,33.0,58.0,11.0,952.0,4.0,107.0
2020,3,La Pampa,9.0,57.0,15.0,12.0,1.0,94.0
2020,3,La Rioja,17.0,35.0,1.0,250.0,35.0,53.0
2020,3,Mendoza,92.0,65.0,33.0,18.0,868.0,208.0
2020,3,Misiones,50.0,78.0,3.0,3.0,9.0,143.0
2020,3,Neuquén,30.0,70.0,11.0,17.0,737.0,129.0
2020,3,Río Negro,50.0,40.0,10.0,13.0,18.0,131.0
2020,3,Salta,58.0,84.0,25.0,6.0,7.0,181.0
2020,3,San Juan,40.0,9.0,6.0,14.0,8.0,77.0
2020,3,San Luis,8.0,10.0,6.0,62.0,36.0,117.0
2020,3,Santa Cruz,13.0,16.0,1.0,7.0,2.0,39.0
2020,3,Santa Fe,295.0,406.0,46.0,37.0,19.0,803.0
2020,3,Santiago Del Estero,26.0,71.0,555.0,4.0,4.0,105.0
2020,3,Tierra Del Fuego,13.0,26.0,0.0,0.0,310.0,40.0
2020,3,Tucumán,150.0,12.0,60.0,2.0,762.0,224.0
2020,2,Buenos Aires,661.0,2.0,723.0,92.0,57.0,4.0
2020,2,Capital Federal,179.0,1.0,39.0,4.0,29.0,1.0
2020,2,Catamarca,27.0,4.0,15.0,261.0,2.0,48.0
2020,2,Chaco,47.0,56.0,17.0,6.0,2.0,128.0
2020,2,Chubut,46.0,38.0,1.0,18.0,6.0,109.0
2020,2,Córdoba,283.0,415.0,86.0,45.0,8.0,836.0
2020,2,Corrientes,51.0,56.0,3.0,4.0,5.0,119.0
2020,2,Entre Ríos,89.0,99.0,14.0,20.0,11.0,234.0
2020,2,Formosa,22.0,9.0,2.0,15.0,169.0,48.0
2020,2,Jujuy,33.0,39.0,5.0,952.0,17.0,94.0
2020,2,La Pampa,9.0,54.0,14.0,11.0,1.0,90.0
2020,2,La Rioja,17.0,35.0,1.0,250.0,35.0,52.0
2020,2,Mendoza,92.0,63.0,30.0,16.0,802.0,201.0
2020,2,Misiones,51.0,74.0,3.0,3.0,9.0,140.0
2020,2,Neuquén,30.0,68.0,11.0,16.0,1.0,126.0
2020,2,Río Negro,50.0,40.0,10.0,11.0,18.0,129.0
2020,2,Salta,60.0,82.0,24.0,5.0,7.0,178.0
2020,2,San Juan,40.0,8.0,6.0,7.0,9.0,70.0
2020,2,San Luis,8.0,8.0,6.0,61.0,36.0,114.0
2020,2,Santa Cruz,13.0,16.0,1.0,7.0,2.0,39.0
2020,2,Santa Fe,300.0,382.0,47.0,30.0,19.0,778.0
2020,2,Santiago Del Estero,26.0,72.0,355.0,3.0,4.0,105.0
2020,2,Tierra Del Fuego,13.0,26.0,0.0,0.0,310.0,39.0
2020,2,Tucumán,150.0,10.0,55.0,1.0,762.0,217.0
2020,1,Buenos Aires,673.0,2.0,721.0,85.0,18.0,4.0
2020,1,Capital Federal,184.0,1.0,39.0,4.0,29.0,1.0
2020,1,Catamarca,22.0,3.0,12.0,261.0,2.0,40.0
2020,1,Chaco,46.0,54.0,12.0,6.0,2.0,120.0
2020,1,Chubut,46.0,27.0,1.0,17.0,5.0,97.0
2020,1,Córdoba,286.0,406.0,69.0,42.0,9.0,811.0
2020,1,Corrientes,51.0,53.0,2.0,2.0,5.0,114.0
2020,1,Entre Ríos,90.0,95.0,13.0,19.0,14.0,232.0
2020,1,Formosa,21.0,9.0,2.0,15.0,169.0,46.0
2020,1,Jujuy,32.0,39.0,3.0,942.0,17.0,92.0
2020,1,La Pampa,9.0,54.0,14.0,11.0,2.0,89.0
2020,1,La Rioja,13.0,35.0,0.0,251.0,29.0,48.0
2020,1,Mendoza,92.0,50.0,28.0,12.0,722.0,183.0
2020,1,Misiones,51.0,69.0,1.0,460.0,11.0,134.0
2020,1,Neuquén,29.0,66.0,11.0,15.0,729.0,122.0
2020,1,Río Negro,48.0,38.0,10.0,11.0,18.0,126.0
2020,1,Salta,60.0,76.0,23.0,4.0,7.0,170.0
2020,1,San Juan,40.0,6.0,6.0,7.0,5.0,64.0
2020,1,San Luis,8.0,8.0,5.0,58.0,36.0,111.0
2020,1,Santa Cruz,13.0,16.0,1.0,7.0,2.0,39.0
2020,1,Santa Fe,302.0,384.0,35.0,30.0,19.0,771.0
