Provincia,Partido,Localidad,Población,ADSL,Cablemódem,Dial Up,Fibra óptica,Satelital,Wireless,Telefonía Fija,3G,4G,Link,Latitud,Longitud
SANTA FE,La Capital,Laguna Paiva,12334,SI,--,--,--,--,SI,SI,SI,SI,82063080.0,"-31,30926193","-60,66078161"
SANTA FE,La Capital,Llambi Campbell,2260,SI,--,--,--,--,SI,SI,SI,SI,82063090.0,"-31,1862574","-60,74847859"
SANTA FE,La Capital,Monte Vera,5726,SI,--,--,--,SI,--,SI,SI,SI,82063100.0,"-31,51848643","-60,67809979"
SANTA FE,La Capital,Nelson,4206,SI,--,--,SI,--,SI,SI,SI,SI,82063110.0,"-31,26707545","-60,76213554"
SANTA FE,La Capital,Paraje Chaco Chico,139,--,--,--,--,--,--,--,SI,SI,82063120.0,"-31,56729996","-60,66174662"
SANTA FE,La Capital,Paraje La Costa,67,--,--,--,--,--,--,--,--,--,82063130.0,"-31,51779744","-60,61151601"
SANTA FE,La Capital,Recreo,12774,SI,SI,--,--,--,SI,SI,SI,SI,82063140.0,"-31,49358076","-60,73541109"
SANTA FE,San Martín,Colonia Belgrano,908,--,SI,--,--,--,--,--,--,SI,82126050.0,"-31,91189408","-61,40238354"
SANTA FE,San Martín,Crispi,267,--,--,--,--,--,--,SI,--,SI,82126060.0,"-31,74172521","-62,03787654"
SANTA FE,San Martín,El Trébol,11086,SI,SI,--,SI,--,SI,SI,SI,SI,82126070.0,"-32,20302425","-61,70289449"
SANTA FE,San Martín,Landeta,1357,SI,SI,--,--,--,--,SI,SI,SI,82126080.0,"-32,0138147","-62,06117713"
SANTA FE,San Martín,Las Bandurrias,172,--,SI,--,--,--,SI,--,--,SI,82126090.0,"-32,19918996","-61,49279404"
SANTA FE,San Martín,Las Petacas,872,--,--,--,--,--,--,--,--,SI,82126100.0,"-31,82472781","-62,10899079"
SANTA FE,San Martín,Los Cardos,1310,SI,SI,--,--,SI,--,SI,SI,SI,82126110.0,"-32,32430311","-61,63211112"
SANTA FE,San Martín,María Susana,3197,SI,--,--,SI,--,SI,SI,SI,SI,82126120.0,"-32,26548567","-61,90102532"
