Provincia,Partido,Localidad,Link Indec,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general,Unnamed: 13
BUENOS AIRES,Berazategui,Pereyra,6091010,9,242,1,310,- 0,- 0,- 0,- 0,562,
BUENOS AIRES,Berazategui,Plátanos,6091010,- 0,"1,94",- 0,"2,2",1,- 0,- 0,- 0,"4,14",
BUENOS AIRES,Berazategui,Ranelagh,6091010,39,"2,95",13,"7,37",- 0,1,- 0,- 0,"10,37",
BUENOS AIRES,Berazategui,Villa España,6091010,2,"1,22",- 0,"2,12",- 0,- 0,- 0,- 0,"3,34",
BUENOS AIRES,Berisso,Berisso,6098010,"4,2","12,54",23,"7,19",29,- 0,- 0,368,"24,35",
BUENOS AIRES,Berisso,Villa Nueva,6098010,- 0,- 0,- 0,132,- 0,- 0,- 0,250,382,
BUENOS AIRES,Berisso,Barrio El Carmen (Este),6098010,- 0,- 0,- 0,132,- 0,- 0,- 0,250,382,
BUENOS AIRES,Berisso,Villa Arguello,6098010,- 0,- 0,- 0,132,- 0,- 0,- 0,250,382,
BUENOS AIRES,Berisso,Villa Progreso,6098010,- 0,- 0,- 0,132,- 0,- 0,- 0,250,382,
BUENOS AIRES,Bolívar,OTROS,Sin Datos,- 0,1,- 0,1,- 0,- 0,- 0,- 0,2,
BUENOS AIRES,Bolívar,Pirovano,6105050,- 0,- 0,- 0,- 0,50,- 0,- 0,45,95,
BUENOS AIRES,Bolívar,San Carlos de Bolívar  (Est. Bolívar),6105060,963,"5,14",2,- 0,- 0,1,- 0,255,"6,36",
BUENOS AIRES,Bolívar,Urdampilleta,6105070,- 0,- 0,6,2,6,- 0,- 0,71,85,
BUENOS AIRES,Bolívar,Hale,6105010,10,- 0,- 0,- 0,- 0,- 0,- 0,- 0,10,
BUENOS AIRES,Bragado,Bragado,6112010,674,"4,14",10,127,- 0,- 0,- 0,212,"5,16",
BUENOS AIRES,Bragado,General O'Brien,6112030,321,- 0,- 0,83,- 0,- 0,- 0,36,440,
BUENOS AIRES,Bragado,Irala,6112040,- 0,2,- 0,- 0,- 0,- 0,- 0,22,24,
BUENOS AIRES,Bragado,Mechita (Est. Mecha),6112070,10,8,- 0,- 0,- 0,- 0,- 0,8,26,
BUENOS AIRES,Bragado,Warnes,6112090,135,- 0,- 0,- 0,9,- 0,- 0,7,151,
BUENOS AIRES,Bragado,Comodoro Py,6112020,- 0,- 0,- 0,220,- 0,- 0,- 0,2,222,
BUENOS AIRES,Bragado,Olascoaga,6112080,- 0,- 0,- 0,- 0,- 0,- 0,- 0,40,40,
BUENOS AIRES,Brandsen,Coronel Brandsen,6119050,"1,8",5,- 0,"1,53",2,- 0,- 0,"1,14","4,48",
BUENOS AIRES,Brandsen,Jeppener,6119070,676,- 0,- 0,2,- 0,- 0,- 0,- 0,678,
BUENOS AIRES,Campana,Campana,6126030,"1,98","17,77",1,"9,78",18,5,- 0,43,"29,59",
BUENOS AIRES,Campana,Lomas del Río Luján (Est. Río Luján),6126040,- 0,50,- 0,- 0,- 0,- 0,- 0,- 0,50,
BUENOS AIRES,Campana,Alto Los Cardales,6126010,- 0,- 0,- 0,106,- 0,- 0,- 0,41,147,
BUENOS AIRES,Campana,Barrio Los Pioneros,6126020,- 0,- 0,- 0,- 0,- 0,- 0,- 0,40,40,
BUENOS AIRES,Campana,Chacras Del Río Luján,6126035,- 0,- 0,- 0,- 0,- 0,- 0,- 0,35,35,
BUENOS AIRES,Cañuelas,Alejandro Petión,6134010,206,858,7,- 0,- 0,- 0,- 0,44,"1,11",
BUENOS AIRES,Cañuelas,Barrio El Taladro,6134020,- 0,- 0,- 0,200,- 0,- 0,- 0,- 0,200,
BUENOS AIRES,Cañuelas,Cañuelas,6134030,"1,23","5,14",33,"2,26",- 0,1,- 0,526,"9,19",
BUENOS AIRES,Cañuelas,Máximo Paz,6134050,- 0,"2,74",- 0,3,- 0,- 0,- 0,270,"3,02",
BUENOS AIRES,Cañuelas,Santa Rosa,6134060,- 0,- 0,- 0,- 0,- 0,2,- 0,233,235,
BUENOS AIRES,Cañuelas,Uribelarrea,6134070,60,- 0,- 0,686,- 0,- 0,- 0,141,887,
BUENOS AIRES,Cañuelas,Vicente Casares,6134080,228,- 0,2,- 0,- 0,- 0,- 0,25,255,
BUENOS AIRES,Cañuelas,Barrio Belgrano-Máximo Paz,6134030,- 0,- 0,- 0,- 0,- 0,- 0,- 0,48,48,
BUENOS AIRES,Cañuelas,Gobernador Udaondo,6134040,- 0,- 0,- 0,- 0,- 0,- 0,- 0,20,20,
BUENOS AIRES,Capitán Sarmiento,Capitán Sarmiento,6140010,180,"3,96",- 0,82,- 0,- 0,- 0,89,"4,31",
BUENOS AIRES,Capitán Sarmiento,La Luisa,6140020,- 0,- 0,- 0,- 0,- 0,- 0,- 0,44,44,
BUENOS AIRES,Carlos Casares,Cadret,6147020,- 0,- 0,- 0,- 0,1,- 0,- 0,48,49,
BUENOS AIRES,Carlos Casares,Carlos Casares,6147030,"1,43",11,8,"1,56",- 0,- 0,- 0,"2,46","5,47",
