Provincia,Partido,Localidad,Link Indec,Otros,"0,256 Mbps","0,375 Mbps","0,5 Mbps","0,512 Mbps","0,625 Mbps","0,75 Mbps",1 Mbps,"1,25 Mbps","1,5 Mbps",2 Mbps,"2,2 Mbps","2,5 Mbps",3 Mbps,"3,3 Mbps","3,5 Mbps",4 Mbps,"4,5 Mbps",5 Mbps,6 Mbps,"6,4 Mbps",7 Mbps,"7,5 Mbps",8 Mbps,9 Mbps,10 Mbps,"10,2 Mbps",11 Mbps,12 Mbps,"12,3 Mbps",13 Mbps,14 Mbps,15 Mbps,16 Mbps,17 Mbps,18 Mbps,20 Mbps,"20,5 Mbps",21 Mbps,22 Mbps,23 Mbps,24 Mbps,25 Mbps,"25,1 Mbps","25,5 Mbps",26 Mbps,27 Mbps,30 Mbps,31 Mbps,32 Mbps,34 Mbps,35 Mbps,36 Mbps,38 Mbps,39 Mbps,40 Mbps,41 Mbps,45 Mbps,46 Mbps,48 Mbps,49 Mbps,50 Mbps,"50,1 Mbps","50,25 Mbps",51 Mbps,55 Mbps,58 Mbps,59 Mbps,60 Mbps,61 Mbps,62 Mbps,64 Mbps,65 Mbps,66 Mbps,70 Mbps,75 Mbps,78 Mbps,80 Mbps,83 Mbps
ENTRE RIOS,Concordia,Estación Yuquerí,30015083,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTRE RIOS,Concordia,Estancia Grande,30015087,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTRE RIOS,Concordia,La Criolla,30015090,,,,,,,,,,,4.0,,,2.0,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTRE RIOS,Concordia,Los Charrúas,30015100,,,,,,,,1.0,,,34.0,,,8.0,,,27.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTRE RIOS,Concordia,Nueva Escocia,30015110,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTRE RIOS,Concordia,Osvaldo Magnasco,30015120,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTRE RIOS,Concordia,Puerto Yeruá,30015140,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTRE RIOS,Diamante,Aldea Brasilera,30021010,,,,,,,,1.0,,,15.0,,,8.0,,,15.0,,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTRE RIOS,Diamante,Aldea Protestante,30021020,,,,,,,,41.0,,,37.0,,,77.0,,,15.0,,2.0,40.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTRE RIOS,Diamante,Aldea Spatzenkutter,30021050,,,,,,,,1.0,,,26.0,,,7.0,,,9.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTRE RIOS,Diamante,Aldea Valle María,30021060,,,,,,,,4.0,,,136.0,,,6.0,,,70.0,,85.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTRE RIOS,Diamante,Colonia Ensayo,30021070,,,,,,,,,,,3.0,,,,,,5.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTRE RIOS,Diamante,Diamante,30021080,,,,,,,,10.0,,,217.0,,,53.0,,,101.0,,3.0,392.0,,,,,,1.553,,,1.13,,,,133.0,,,,130.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTRE RIOS,Diamante,Estación Camps,30021090,,,,,,,,,,,19.0,,,9.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTRE RIOS,Diamante,General Alvear,30021100,,,,,,,,,,,10.0,,,,,,5.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTRE RIOS,Diamante,General Racedo,30021110,,,,,,,,1.0,,,13.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTRE RIOS,Diamante,General Ramírez,30021120,0.0,,,,1.0,,,9.0,,,50.0,,,40.0,,,4.0,,6.0,109.0,,,,,,377.0,,,,,,,51.0,,,,27.0,,,,,,,,,,,20.027,,,,,,,,,,,,,,178.0,,,,,,,,,,,,,,,,,
ENTRE RIOS,Diamante,OTROS,Sin Datos,,,,,,,,,,,62.0,,,,,,49.0,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTRE RIOS,Diamante,Strobel,30021120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTRE RIOS,Diamante,Villa Libertador San Martín,30021150,,,,,,,,5.0,,,170.0,,,37.0,,,148.0,,,223.0,,,,,,556.0,,,,,,,140.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTRE RIOS,Federación,Chajarí,30028010,0.0,,,,,,,22.0,,,,,,51.0,,,,,209.0,246.0,,,,,,496.0,,,46.0,,,,66.0,,,,9.99,,,,,,,,,,,581.0,,,,,,,,,,,,,,28.0,,,,,,,47.0,,,,,,,,,,
ENTRE RIOS,Federación,Colonia Alemana,30028020,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTRE RIOS,Federación,Colonia Ensanche Sauce,30028090,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTRE RIOS,Federación,Colonia La Argentina,30028040,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTRE RIOS,Federación,Colonia Peña,30028050,0.0,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTRE RIOS,Federación,Colonia Santa María,30028040,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTRE RIOS,Federación,Federación,30028070,0.0,,,,,,,10.0,,,,,,11.0,,,,,1.0,120.0,,,,,,728.0,,,,,,,148.0,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTRE RIOS,Federación,Los Conquistadores,30028080,,,,,,,,,,,,,,,,,74.0,,111.0,155.0,,,,,,58.0,,,,,,,,,,,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTRE RIOS,Federación,San Jaime de la Frontera,30028090,,,,,,,,,,,,,,,,,,,8.0,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTRE RIOS,Federación,San Pedro,30028100,0.0,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTRE RIOS,Federación,San Ramón,30028105,0.0,,,,,,,,,,,,,,,,29.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTRE RIOS,Federación,Santa Ana,30028110,0.0,,,,,,,,,,,,,,,,,,140.0,,,,,,,112.0,,,7.0,,,,,,,,4.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
ENTRE RIOS,Federación,Villa del Rosario,30028120,0.0,,,,,,,,,,,,,,,,,,140.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,
ENTRE RIOS,Federal,Conscripto Bernardi,30035010,,,,,,,,2.0,,,44.0,,,1.0,,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTRE RIOS,Federal,El Cimarrón,30035020,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTRE RIOS,Federal,Federal,30035030,0.0,,,,,,,4.0,,,36.0,,,10.0,,,,,268.0,37.0,,,,,,143.0,,,,,,,2.0,,,,317.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTRE RIOS,Federal,Nueva Vizcaya,30035040,,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
